symbol,name,sector,market_cap,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,enterprise_value,ev_to_ebitda,ev_to_revenue,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,earnings_quarterly_growth,current_ratio,quick_ratio,debt_to_equity,total_debt,total_cash,free_cash_flow,dividend_yield,payout_ratio,current_price,52_week_high,52_week_low,beta,target_mean_price,recommendation,analyst_count,pct_from_high,pct_from_low,upside_potential
BPCL.NS,Bharat Petroleum,Oil & Gas,1514789273600,7.0265646,7.859522,0,1.588215,0.3427983,1847261528064,5.445,0.418,0.04804,0.07435,0.14846,0.24822001,0.078379996,0.021,1.693,1.695,0.857,0.288,56.386,529668308992,174303707136,108874702848,4.24,0.2013,349.15,388.15,234.01,0.981,414.59375,buy,32,-10.047661986345485,49.20302551173027,18.743734784476594
NTPC.NS,NTPC,Power,3264867729408,18.005348,12.514124,0,1.6986092,1.7482154,5861095243776,10.782,3.138,0.12718001,0.17863001,0.44693002,0.13104,0.04415,0.002,-0.039,-0.039,0.867,0.384,127.753,2548760313856,80008798208,-132738203648,3.24,0.447,336.7,371.45,292.8,0.224,414.8,buy,25,-9.35522950599004,14.993169398907094,23.195723195723204
POWERGRID.NS,Power Grid Corporation,Power,2363748515840,16.449839,13.692158,0,2.3856905,5.118494,3707979431936,9.617,8.029,0.32917,0.5133,0.97764,0.15918,0.060489997,0.018,-0.059,-0.06,0.889,0.551,141.186,1396777156608,96366100480,-45036511232,5.21,0.582,254.15,322.0,247.3,0.204,312.27274,buy,22,-21.07142857142857,2.769915082895267,22.86946291560102
TATASTEEL.NS,Tata Steel,Metals,2339843342336,34.423855,11.234131,0,2.461395,1.0552487,3218446483456,11.723,1.451,0.0307,0.102290004,0.53543,0.071729995,0.03849,0.089,2.716,2.722,0.742,0.16,99.699,956431269888,84856102912,94074462208,1.9,0.66059995,187.61,192.4,124.74,0.809,192.41936,buy,31,-2.4896049896049854,50.40083373416708,2.5634880869889654
JSWSTEEL.NS,JSW Steel,Metals,2858148429824,47.48377,18.443954,0,3.437971,1.6379449,3695126249472,13.795,2.118,0.03454,0.101009995,0.42042,0.07279,0.04468,0.138,2.689,2.697,1.093,0.397,118.74,1011070009344,189329997824,50587500544,0.24,0.11359999,1170.0,1223.9,901.1,0.574,1183.0607,hold,33,-4.403954571451923,29.84130507157918,1.116299145299145
HINDALCO.NS,Hindalco Industries,Metals,2124752355328,11.893617,11.87022,0,1.5642669,0.8379352,2633705979904,7.726,1.039,0.07005,0.10318,0.32224998,0.14206,0.0598,0.135,0.214,0.213,1.475,0.583,57.571,776500019200,252580003840,-24482500608,0.53,0.0626,950.3,970.8,546.45,0.894,897.1071,hold,28,-2.1116604861969512,73.90429133498031,-5.597485004735348
COALINDIA.NS,Coal India,Metals,2578485608448,8.26714,7.6729884,0,2.4456823,1.9757702,2387917144064,5.472,1.83,0.23913,0.19155,0.85485,0.30576,0.08133,0.185,-0.308,-0.308,1.771,0.98,12.976,137861693440,365200211968,126404362240,6.26,0.632,418.4,442.0,349.25,1.0,408.30435,buy,23,-5.339366515837109,19.79957050823192,-2.4129182600382357
LT.NS,Larsen & Toubro,Infrastructure,5149900144640,31.426174,23.350939,0,5.079859,1.8692006,6043149533184,19.142,2.193,0.059520002,0.102340005,0.36321998,0.16521,0.04711,0.107,0.156,0.156,1.253,0.587,111.847,1340011315200,631236001792,148421984256,0.9,0.28530002,3743.8,4195.0,2965.3,0.314,4545.7417,buy,31,-10.755661501787838,26.253667419822612,21.420527271755955
ADANIENT.NS,Adani Enterprises,Conglomerate,2409818488832,28.728617,42.34893,0,4.183479,2.5905344,3457299513344,27.262,3.717,0.08424,0.09083,0.48603,0.15823,0.02642,-0.06,0.848,0.837,0.967,0.407,177.767,1094649315328,120686002176,-333492060160,0.06,0.0194,1864.2,2695.0,1848.0,0.491,2965.0,none,2,-30.827458256029683,0.8766233766233792,59.04945821263813
ADANIPORTS.NS,Adani Ports,Infrastructure,3014500024320,23.660036,18.73486,0,4.2143373,8.6759205,3538980962304,17.242,10.185,0.34416,0.4676,0.65956,0.18591999,0.073410004,0.297,0.271,0.272,1.113,0.74,81.556,568506974208,111290802176,5816937472,0.49,0.12640001,1308.4,1549.0,1010.75,0.263,1775.2382,strong_buy,21,-15.532601678502253,29.44842938412071,35.68008254356465
ASIANPAINT.NS,Asian Paints,Consumer Goods,2591707889664,66.65926,52.087513,0,13.2313795,7.548968,2575823011840,44.418,7.503,0.113479994,0.14048,0.42417,0.20392,0.10356,0.063,0.431,0.43,2.185,1.228,17.609,35570900992,56484900864,30429437952,0.93,0.6104,2703.7,2985.7,2124.75,0.187,2808.8857,hold,35,-9.445021268044346,27.247911519002226,3.8904353293634646
ULTRACEMCO.NS,UltraTech Cement,Cement,3638189096960,49.77064,32.230366,0,5.050862,4.4517713,3891480494080,26.212,4.762,0.08931,0.09928001,0.58300996,0.10519,0.05456,0.254,0.472,0.502,0.685,0.274,33.192,252149104640,36805300224,26059788288,0.63,0.31260002,12369.0,13097.0,10047.85,0.346,13669.9,buy,40,-5.558524853019776,23.100961897321312,10.517422588729888
GRASIM.NS,Grasim Industries,Cement,1871722840064,43.407803,22.459127,0,1.8785666,1.172294,4297190277120,13.673,2.691,0.02686,0.14468001,0.5673,0.058280002,0.03184,0.189,0.396,0.42,0.915,0.315,126.634,2054033899520,254070898688,-58601676800,0.36,0.1571,2759.0,2977.8,2301.65,0.205,3317.8333,buy,12,-7.347706360400301,19.87052766493602,20.254922073214924
TITAN.NS,Titan Company,Consumer Goods,3567518744576,86.2677,59.812042,0,27.856237,5.2537684,3817331752960,58.71,5.622,0.06081,0.09004,0.21694,0.36639,0.08519,0.288,0.591,0.591,1.256,0.137,223.018,285529997312,34639998976,-59323748352,0.27,0.2364,4021.8,4312.1,2925.0,0.118,4456.778,buy,36,-6.732218640569563,37.497435897435906,10.815505495051967
BHARTIARTL.NS,Bharti Airtel,Telecom,12089743638528,30.880661,28.974363,0,9.763717,6.212181,13870769897472,13.915,7.127,0.19805,0.31410998,0.66497004,0.33018002,0.07565,0.257,0.883,0.89,0.413,0.183,129.719,2080097042432,237588004864,381545512960,0.8,0.249,1984.7,2174.5,1559.5,0.061,2336.6177,buy,34,-8.728443320303516,27.265149086245593,17.731531213785445
SHRIRAMFIN.NS,Shriram Finance,Financial Services,1888167657472,19.192005,16.810423,0,3.1155508,9.969943,3463345602560,0.0,18.287,0.52085,0.63387,0.95929,0.17323999,0.03431,0.113,0.081,0.081,4.117,4.117,279.083,1691345485824,119792803840,0,1.46,0.1892,1003.55,1025.6,508.15,0.573,1073.0333,strong_buy,30,-2.149960998439933,97.49089835678441,6.923750685068018
DMART.NS,Avenue Supermarts,Retail,2385327161344,83.42285,62.69555,0,10.417781,3.6136537,2437953093632,52.344,3.693,0.0434,0.066020004,0.14649999,0.0,0.0,0.133,0.183,0.183,0.0,0.0,7.031,16091899904,2103500032,0,0.0,0.0,3665.6,4949.5,3340.0,0.25,4141.3335,hold,30,-25.939993938781697,9.748502994011973,12.978325512876468
