symbol,current_price,return_1d,return_5d,return_20d,return_60d,return_252d,volatility_20d,volatility_60d,sma_20,sma_50,sma_200,price_vs_sma20,price_vs_sma50,price_vs_sma200,trend_strength,rsi_14,macd_histogram,bb_position,avg_volume_20d,volume_ratio,max_drawdown,sharpe_ratio,sortino_ratio
HCLTECH.NS,1707.0,0.002289956238605839,0.005300353356890497,0.035201262755458096,0.11538486387692504,0.11538486387692504,0.18396690065426136,0.1863348230674788,1651.1315124511718,1642.7268286132812,1551.8521228027344,3.383648554189911,3.912590350823897,9.997594159748902,0.5116300343731117,79.71502375505025,5.4712852709106965,0.8734911013697683,2491134.4,0.7523263297235188,-0.23956839125060858,-0.23203970704455817,-0.36426316667583414
WIPRO.NS,238.39999389648438,-0.00934967819266952,-0.10861849685787062,-0.10476903933685056,-0.009432020150959786,-0.009432020150959786,0.36288377876512956,0.2524300591798497,258.5485015869141,257.2084014892578,249.81423828125,-7.792931526101521,-7.312516808887748,-4.5690928040358685,0.5210172334562113,29.623564773531015,-3.3947509296513623,0.03669842681164744,10466652.5,1.2935161456826814,-0.26610249782526196,-1.0958134679376534,-1.3612464023664723
TECHM.NS,1701.0999755859375,0.008118970590054397,0.018317854286703072,0.05507655155276803,0.1942571935055235,0.1942571935055235,0.280410466210852,0.21771363762767895,1626.6,1579.8600024414063,1512.6041156005858,4.5801042411125925,7.6740959931370645,12.461678375806118,2.9584898336792342,65.74017389275443,7.243737130121286,0.9113891879560979,1917546.8,0.9550875107715754,-0.26133889670083266,-0.03670627972332147,-0.05464322038089762
HINDUNILVR.NS,2409.5,0.007905923856641461,0.02080160129116093,0.05430126146806136,-0.015030956830897169,-0.015030956830897169,0.17075175491658373,0.1707133053387022,2368.1049926757814,2363.87400390625,2413.7185192871093,1.74802246742638,1.9301365478174404,-0.1747726279348938,0.1789853758085158,53.886162098127855,4.135444935683688,0.7673640620765538,1197882.7,1.1504315071918143,-0.1538399256940685,0.06753272722816499,0.10458028602851178
ITC.NS,323.3999938964844,-0.004463636077535416,-0.01761852398383046,-0.19980205671036733,-0.23064115808090724,-0.23064115808090724,0.3679007304643852,0.2338761714764851,346.79250183105466,380.73399963378904,405.8297691345215,-6.7453903446754175,-15.058808982767935,-20.311416635065505,-8.914753564268274,14.555237218057755,-0.4677061268237246,0.27283033805340057,40908843.85,0.29204631262146996,-0.2767108120535696,-1.7994106833226096,-2.0359409689463437
NESTLEIND.NS,1293.800048828125,-0.009341463378158554,-0.016794570389781716,0.01665886661079541,0.017458378160126964,0.017458378160126964,0.16886026763630443,0.13619122053557134,1301.3799926757813,1271.69599609375,1214.231015625,-0.582454309296021,1.7381554083893969,6.553039098755731,2.334205397611644,42.227242080735735,-3.2701543837844564,0.3688394268614822,1030001.0,0.7225303664753724,-0.11882230737862333,0.6853864662307894,1.0692238925275122
BRITANNIA.NS,5835.0,-0.016351989211058626,-0.010765448842926184,-0.032739328636552045,-0.004181244133458439,-0.004181244133458439,0.17441087632380645,0.17093271172633992,5970.075,5936.82,5745.617075195312,-2.2625343902714756,-1.715059577349487,1.555671455909713,0.5601483622545311,38.8338192419191,-18.632941865849475,0.13631279183375525,296711.5,0.4794084489478837,-0.1203821820215014,0.6393762508144412,1.0008695825971758
TATACONSUM.NS,1153.5,-0.018464901355923713,-0.02993858911517966,-0.018882327204102767,-0.009871244635193177,-0.009871244635193177,0.2123912942607473,0.18609189203210894,1183.1649963378907,1173.537998046875,1127.9164379882814,-2.507257772982563,-1.7074860873890985,2.268214306491423,0.8203397169105786,42.49738214834338,-3.8507495706953283,-0.006567866460775847,1067723.15,1.3644304705765724,-0.12095151414974296,0.5989414707402732,1.0122407076055877
MARUTI.NS,15469.0,-0.018775769108785312,-0.024591714483889304,-0.06790792962159553,-0.04429754108488815,-0.04429754108488815,0.20128158239656438,0.17858587358605266,16410.25,16284.02,14324.837109375,-5.7357444280251695,-5.005029470609834,7.987266325536058,0.775177136849492,19.412191581993056,-131.83647329666783,0.023140273236205128,344395.6,0.9832907272915218,-0.13776308976867363,1.1129021484782278,1.989688567184509
M&M.NS,3543.39990234375,-0.008478621384593099,-0.03138156753606369,-0.021997790059418265,0.016116067893666042,0.016116067893666042,0.16746847016760136,0.16488372409128563,3671.85,3669.9880078125,3354.7013806152345,-3.498239243331014,-3.4492784499370432,5.6248977276752266,0.05073564773334649,10.747164046277604,-18.823257201989023,0.10151047535200018,1523778.65,1.2615972798936381,-0.22110713882581817,0.7280164822988425,1.1084611424851458
BAJAJ-AUTO.NS,9413.5,0.004642475987193251,-0.007956581304668586,0.03850184786805677,0.05858869834129887,0.05858869834129887,0.20855628919580388,0.16801871750151734,9465.425,9200.25,8672.039396972656,-0.5485754733675408,2.3178717969620344,8.550014236399605,2.8822586342762246,46.80365296798666,-43.39419971716916,0.43004508229654675,347575.1,0.5874586528206422,-0.20193104487631183,0.460226781498678,0.6963487624900405
EICHERMOT.NS,6973.0,-0.010781671159029615,-0.04675324675324677,-0.04792463134898961,-0.004852290566576323,-0.004852290566576323,0.15502450763045703,0.17619389601303562,7331.75,7218.47,6298.088723144531,-4.8931019197326675,-3.400582117817219,10.71612844028811,1.5693076233606273,14.934618031629853,-60.702629090090994,-0.046008232764909354,415457.95,0.8806787786826561,-0.14254589700823075,1.3428245224850563,1.9894002253742082
HEROMOTOCO.NS,5384.0,-0.01903981051289061,-0.04733256657524554,-0.04488202944828812,-0.028860028860028808,-0.028860028860028808,0.23221957360532813,0.24100963893681068,5731.575,5877.69,4979.835255126953,-6.064214461121065,-8.399388195022183,8.11602641788085,-2.4859255932177415,15.371329879077123,-37.601366296141705,-0.010723122782073217,605526.3,0.7599603848751078,-0.18659190994936936,1.1108593641985987,2.097405717014009
SUNPHARMA.NS,1631.9000244140625,-0.0014073716965682381,-0.02217029148465044,-0.05094502796506983,-0.03477845179865091,-0.03477845179865091,0.20033112112938078,0.1642740904485394,1703.5849853515624,1750.3380004882813,1693.418285522461,-4.207888749542277,-6.766577429112486,-3.6327859238521554,-2.6710849632286204,32.18219977919283,-10.354166708692649,0.13419124606976063,2176359.4,0.771311025191887,-0.1483241745233455,-0.7324592866477826,-0.9660878426630465
DRREDDY.NS,1235.5999755859375,0.014866509721509269,0.05112715915434918,-0.026550123647518076,0.031730127567352495,0.031730127567352495,0.25163878266508727,0.17126002283927313,1219.0399963378907,1245.4139990234376,1247.656312866211,1.3584442920490325,-0.7880129374806644,-0.9663187815382224,-2.1176895960883235,46.41433524208149,1.2927526091534212,0.6090333372902343,1780961.5,2.1835643274714247,-0.15627422008180678,-0.35504397943563837,-0.49041903699561235
CIPLA.NS,1315.0,-0.04042617004312277,-0.05903398926654746,-0.12682602921646746,-0.12409248169514542,-0.12409248169514542,0.2280142599485488,0.16279855950766134,1448.0400085449219,1486.0300073242188,1509.293251953125,-9.187592038883551,-11.509189348886672,-12.873127982365041,-2.556475884878162,7.082991406948679,-13.087999213347192,-0.05255787003702166,2117593.9,3.111902145165794,-0.20954555223719387,-0.6066186296387456,-0.8229892346689934
